zone_id,counter,date,day_of_week,is_weekend,month,is_summer,temperature_f,precip_chance,nearby_event_type,base_foot_traffic,foot_traffic
belltown,Elliott Bay Trail (Myrtle Edwards),2024-01-01,0,0,1,0,38.9,0.0,none,3700,8007
belltown,Elliott Bay Trail (Myrtle Edwards),2024-01-02,1,0,1,0,42.0,0.39,none,3700,5211
belltown,Elliott Bay Trail (Myrtle Edwards),2024-01-03,2,0,1,0,43.5,0.38,none,3700,4812
belltown,Elliott Bay Trail (Myrtle Edwards),2024-01-04,3,0,1,0,44.4,0.49,none,3700,4812
belltown,Elliott Bay Trail (Myrtle Edwards),2024-01-05,4,0,1,0,44.1,1.0,none,3700,4812
belltown,Elliott Bay Trail (Myrtle Edwards),2024-01-06,5,1,1,0,40.1,1.0,none,3700,5211
belltown,Elliott Bay Trail (Myrtle Edwards),2024-01-07,6,1,1,0,38.8,0.11,none,3700,5211
belltown,Elliott Bay Trail (Myrtle Edwards),2024-01-08,0,0,1,0,42.6,1.0,none,3700,4812
belltown,Elliott Bay Trail (Myrtle Edwards),2024-01-09,1,0,1,0,44.2,1.0,none,3700,5611
belltown,Elliott Bay Trail (Myrtle Edwards),2024-01-10,2,0,1,0,39.5,0.02,none,3700,5211
belltown,Elliott Bay Trail (Myrtle Edwards),2024-01-11,3,0,1,0,35.5,0.27,none,3700,6010
belltown,Elliott Bay Trail (Myrtle Edwards),2024-01-12,4,0,1,0,23.4,0.0,none,3700,5611
belltown,Elliott Bay Trail (Myrtle Edwards),2024-01-13,5,1,1,0,19.7,0.0,none,3700,7208
belltown,Elliott Bay Trail (Myrtle Edwards),2024-01-14,6,1,1,0,25.3,0.0,none,3700,4812
belltown,Elliott Bay Trail (Myrtle Edwards),2024-01-15,0,0,1,0,27.9,0.0,none,3700,5211
belltown,Elliott Bay Trail (Myrtle Edwards),2024-01-16,1,0,1,0,31.0,0.11,none,3700,4812
belltown,Elliott Bay Trail (Myrtle Edwards),2024-01-17,2,0,1,0,35.9,0.94,none,3700,4812
belltown,Elliott Bay Trail (Myrtle Edwards),2024-01-18,3,0,1,0,34.5,1.0,none,3700,4812
belltown,Elliott Bay Trail (Myrtle Edwards),2024-01-19,4,0,1,0,39.5,0.27,none,3700,4812
belltown,Elliott Bay Trail (Myrtle Edwards),2024-01-20,5,1,1,0,40.1,0.13,none,3700,6010
belltown,Elliott Bay Trail (Myrtle Edwards),2024-01-21,6,1,1,0,43.9,1.0,none,3700,4812
